,title,listing_url,price,time_posted,num_bedrooms,sqft,neighborhood,latitude,longitude,description,address
0,Newly renovated modern apartment,https://toronto.craigslist.org/tor/apa/d/west-toronto-newly-renovated-modern/6958209720.html,1650,2019-08-16 17:27,1.0,500.0,Toronto,43.6512,-79.4828,"
        
A must see. Newly renovated lower level modern suite in a family-friendly, quiet neighbourhood near Jane and Annette.

 Features: 
• Newly renovated modern apartment 
• 1 large bedroom 
• brand new tiled bathroom with extra large shower 
• open concept living room 
• full kitchen with full-sized brand new stainless steel appliances, backsplash 
• large above-ground windows (6 ft. w in the living room and 3.4 ft. w in the bedroom)
• 8 feet ceiling heights
• plenty of storage in 2 large double closets 
• separate entrance
• designated day laundry included
• cable and internet included

 Steps to all amenities:
• 5 min bus ride to Jane Subway
• 15 min car ride to downtown 
• Walking distance to newly renovated Lablaws with Starbucks or Jane/Annette restaurants and boutiques
• Very close to Bloor West Village and The Junction with trendy restaurants, barbershops, local breweries and excellent night life
• Steps away from Humber River Parklands & excellent bicycle trails, kayaking and canoeing rentals for nature lovers
• Excellent shopping and restaurants nearby
• Dundas library 

  *Rent does not Include: Utilities. Smoking of any kind and pets Not permitted

  Parking on street, no designated spot


  Available for rent starting Sept 1. Utilities extra.
  Looking for a non-smoking, quiet, respectful working professional or couple, or mature student.

 Required: Rental Application, Credit Check, References, Proof Of Income, 1st & Last Month Deposit

 email for showing dates/viewing. Thank you!    ","290 Willard Avenue, Toronto, ON M6S3R2
Toronto, Runnymede-Bloor West Village Toronto Ontario Canada"
1,Brand New,https://toronto.craigslist.org/tor/apa/d/toronto-brand-new/6941334364.html,2000,2019-08-16 17:10,2.0,,,43.641683,-79.401803,"
        
An exclusive rental units in a Brand New Never Lived in Condo -   NOT been posted on the MLS yet

Be The First To Enjoy This Stunning, Never Lived In 1 Bedroom or 2 Bedrooms In The Heart Of Downtown!! This Stylish, Open Concept Unit, Stainless Steel Appliances & Beautiful Engineered Hardwood Oak Flooring! Location Can't Be Beat! Downtown's King West neighborhood, Bathurst St & Niagara St. Close To Restaurants, Shops & Parks & Waterfront. In The Heart Of King West. Steps To The Business & Entertainment Districts, Lake, Running Trail, Fine Restaurants & Shopping! 

- 1bd $2,000
- 1+den for $2,250
- 2bd for $2,450
- 2bd +den for $2,800
- 3bd for $3,100

Tenants Receive ****FREE SERVICES****  There is NO COST to you as a renter.

For more information, please email  
  with ALL the following info:
1) Your name and the best phone number to reach you on, 
2) Email address (please send your email address not kijij email address) 
3) Number of Bedrooms 
4) Your desire moving date 

** Please note that only emails that include ALL requirements information as described will be responded. **

* Other downtown locations available depending on occupancy dates. 

Thank You 
Ravid MOTEK
Real Estate Broker & Mortgage Agent.


**Not intended to solicit buyers or sellers already under contract**    ","31 Bathurst Street, Toronto, ON M5V2R4
Waterfront Communities-The Island, Toronto, Niagara, Downtown Toronto Toronto Ontario Canada"
2,2br - 2bd + 2bath Brand New Never Lived in - NOT on MLS,https://toronto.craigslist.org/tor/apa/d/toronto-2br-2bd-2bath-brand-new-never/6942607439.html,2700,2019-08-16 17:10,2.0,,576 Front St W,43.641538,-79.400577,"
        
Minto Westside, design-forward condos at Front and Bathurst takes community living to the next level, and offers stunning views of the Toronto skyline. Designed for entertaining and socializing, and featuring amenities like landscaped courtyards, rooftop pool and bar, Movement Haus gym and more, everything you need is right at your doorstep.

Listing for 2bd + 2bath $2,700


For more information, please email  
 with ALL the following info:
1) Your name
2) Your phone number to schedule viewing
3) Email address (your real email address not kijij email address) 
4) Your desire moving date 


** Please note that only emails that include ALL requirements information as described will be responded. **
** . Tenants Receive ****FREE SERVICES**** There is NO COST to you as a renter. **
** Other downtown locations available depending on occupancy dates. ** 

Thank You 
Ravid MOTEK
Real Estate Broker 


**Not intended to solicit buyers or sellers already under contract**    ","Toronto Waterfront Communities-The Island, ON M5V
Waterfront Communities-The Island, Toronto, Downtown Toronto Toronto Ontario Canada"
3,2bd + 2bath Brand New Never Lived in - NOT on MLS,https://toronto.craigslist.org/tor/apa/d/toronto-2bd-2bath-brand-new-never-lived/6942606458.html,2700,2019-08-16 17:10,2.0,,576 Front St W,43.641538,-79.400577,"
        
Minto Westside, design-forward condos at Front and Bathurst takes community living to the next level, and offers stunning views of the Toronto skyline. Designed for entertaining and socializing, and featuring amenities like landscaped courtyards, rooftop pool and bar, Movement Haus gym and more, everything you need is right at your doorstep.

Listing for 2bd  + 2bath $2,700


For more information, please email  
  with ALL the following info:
1) Your name
2) Your phone number to schedule viewing
3) Email address (your real email address not kijij email address) 
4) Your desire moving date 


** Please note that only emails that include ALL requirements information as described will be responded. **
** . Tenants Receive ****FREE SERVICES****  There is NO COST to you as a renter. **
** Other downtown locations available depending on occupancy dates. ** 

Thank You 
Ravid MOTEK
Real Estate Broker 


**Not intended to solicit buyers or sellers already under contract**

    ","Toronto Waterfront Communities-The Island, ON M5V
Waterfront Communities-The Island, Toronto, Downtown Toronto Toronto Ontario Canada"
4,"Available October 1BR , heat hot water included Scarborough",https://toronto.craigslist.org/tor/apa/d/scarborough-available-october-1br-heat/6948489653.html,1650,2019-08-16 17:08,1.0,,Scarborough,43.773625,-79.230665,"
        
Located on Markham near Brimorton Drive in Scarborough, Gorgeous apartment with one (1) closed room for rent. Lease it from October, $ 1,650 rent, includes heat hot water.  Building features:   - elevators
 - parking
 - security system
 - wheelchair accessible

    ","1021A Markham Road, Scarborough, Toronto, ON M1H2Y5
Woburn, Scarborough Scarborough, Toronto Ontario Canada"
5,1+1 with parking and locker Brand New Never Lived in - NOT on MLS,https://toronto.craigslist.org/tor/apa/d/toronto-11-with-parking-and-locker/6942619065.html,2350,2019-08-16 17:10,2.0,,576 Front St W,43.641538,-79.400577,"
        
Minto Westside, design-forward condos at Front and Bathurst takes community living to the next level, and offers stunning views of the Toronto skyline. Designed for entertaining and socializing, and featuring amenities like landscaped courtyards, rooftop pool and bar, Movement Haus gym and more, everything you need is right at your doorstep.

Listing for 1+1 $2,350 including parking and locker


For more information, please email  
 with ALL the following info:
1) Your name
2) Your phone number to schedule viewing
3) Your desire moving date 


** Please note that only emails that include ALL requirements information as described will be responded. **
** . Tenants Receive ****FREE SERVICES**** There is NO COST to you as a renter. **
** Other downtown locations available depending on occupancy dates. ** 

Thank You 
Ravid MOTEK
Real Estate Broker 


**Not intended to solicit buyers or sellers already under contract**

    ","Toronto Waterfront Communities-The Island, ON M5V
Waterfront Communities-The Island, Toronto, Downtown Toronto Toronto Ontario Canada"
6,"Fantastic 3 Bed, 3 Bath @  Bloor/Dundas",https://toronto.craigslist.org/tor/apa/d/west-toronto-fantastic-3-bed-3-bath/6958184091.html,3499,2019-08-16 16:53,3.0,1700.0,Junction,43.6605,-79.4633,"
        
Majestic Living On Three Finished Levels This Immaculate, Approximately 1265 Square Foot, 3 Bedroom Townhome Features An Open Concept Design With Large Principle Rooms, Hardwood, Ceramic And Broadloom Floors, One 4 Piece And Two 2 Piece Bathrooms, Central Air Conditioning , A Renovated Lower Level And A Garage. The Gourmet Kitchen Features An Abundance Of Counter And Storage Space, W/O To Deck, A Modern Fridge, Stove And A Dishwasher.

Includes: Fridge, Stove, Dw, Washer/Dryer And Garage Parking. This Family Friendly Community Is Close To Tranquil Parks (High Park), The Subway And Amenity Rich Bloor West Village With An Abundance Of Shopping, Restaurants And Pubs    ","71 Mavety Street, Toronto, ON M6P2L7
Toronto, High Park North Toronto Ontario Canada"
7,1 Old Mill Dr -  1 Bedroom Apartment for Lease $2350/mo,https://toronto.craigslist.org/tor/apa/d/toronto-1-old-mill-dr-1-bedroom/6958184222.html,2350,2019-08-16 16:53,1.0,,Toronto,43.647983,-79.486528,"
        
Prime Location! A great opportunity to live in Bloor West Village! $2350 plus utilities. Available Immediately. 1 bedroom with over 600 sq.ft of living space. Open concept kitchen and living/dining room with walkout to a balcony. This unit offers the convenience of ensuite laundry, 1 underground parking spot and a locker. 5 star amenities include concierge, pool, whirlpool, gym, yoga room, party room, lounge, guest suites, rooftop garden with stunning views of the Humber River. Short stroll to subway, Bloor West Village cafes shops & restaurants; hiking and biking trails of the Etienne Brule parkland, Old Mill Tennis Club and close to all major HWYS.
    ","2490 Bloor Street West, York, Toronto, ON M6S0A5
York, Toronto, Lambton Baby Point, High Park-Swansea Toronto Ontario Canada"
8,"Cheerful 2 Bedroom, 2 Bath with Den and 2 Balconies",https://toronto.craigslist.org/tor/apa/d/toronto-cheerful-2-bedroom-2-bath-with/6958192993.html,3995,2019-08-16 17:05,2.0,856.0,Yorkville,43.6736,-79.4035,"
        
FURNISHED – 2 BED + DEN – 2 BATH – CONDO / APARTMENT – 856 SQ. FT.
Yorkville Toronto Furnished Condo Rental at The Yorkville – Cheerful 2 Bedroom, 2 Bath with Den and 2 Balconies

$3,995 /month
Available: Sep 1, 2019
Min 6 Month

YORKVILLE
32 Davenport Rd, #903
Toronto

This Yorkville Toronto Furnished Condo Rental at The Yorkville offers 856 square feet, 2 bedrooms, 2 bathrooms, 2 balconies, a den and corner suite living. Enjoy a stunning kitchen with quartz counters, sleek modern cabinetry, built- in appliances and a high-top breakfast bar with seating for 2. The adjoining dining area seats 5 at a glass round dining set and the living room offers the perfect area to host guests. This Toronto furnished condo rental features beautiful views from the living room windows, comfortable modern sofas and a flat screen TV perfect for those nights in. Both bedrooms feature lovely elegant décor, plush bedding, soft natural lighting and generous personal storage space. Included in this Yorkville Toronto Furnished Condo Rental at The Yorkville is discreet in suite laundry and underground parking. Sorry, pets are not considered at this time. A one time cleaning fee of $195 applies. Utilities and internet can be made available for an additional $200/month. Residents enjoy access to premium building amenities including the onsite fitness facility, concierge, common rooftop patio, common BBQ, meeting room, swimming pool, pool tables and steam room. Located in Yorkville and with easy access to everything you need, find lifestyle amenities like The Concert Hall on Yonge Street, the Toronto Public Library, Whole Foods on Hazelton, Jesse Ketchum Park, dining, cafes and shops. Rent it Furnished is a full-service provider of Toronto Investment Real Estate Services. Our services include leasing, tenant placement, full property management and Investment Real Estate Sales in the Toronto and surrounding areas. Not all properties listed with us are professionally managed by Rent it Furnished and pricing, terms and availability is subject to change.

To APPLY or VIEW this property with an agent please visit the link below:
https://rentitfurnished.com/toronto/property/yorkville-toronto-furnished-condo-rental-at-the-yorkville-i/

To CONTACT US or view SIMILAR PROPERTIES please follow this link:
http://rentitfurnished.com/toronto/listings/

Rent it Furnished Inc - 500 King St W, 3rd Floor, Toronto, ON, M5V 1L2


    ","Toronto, ON M5R
Toronto, Annex Toronto Ontario Canada"
9,1bd +parking and locker in a Brand New Never Lived in - NOT on MLS,https://toronto.craigslist.org/tor/apa/d/toronto-1bd-parking-and-locker-in-brand/6942621328.html,2000,2019-08-16 17:09,1.0,,576 Front St W,43.641538,-79.400577,"
        
Minto Westside, design-forward condos at Front and Bathurst takes community living to the next level, and offers stunning views of the Toronto skyline. Designed for entertaining and socializing, and featuring amenities like landscaped courtyards, rooftop pool and bar, Movement Haus gym and more, everything you need is right at your doorstep.

Listing for 1+1 $2,000 including parking and locker


For more information, please email  
 with ALL the following info:
1) Your name
2) Your phone number to schedule viewing
3) Your desire moving date 


** Please note that only emails that include ALL requirements information as described will be responded. **
** . Tenants Receive ****FREE SERVICES**** There is NO COST to you as a renter. **
** Other downtown locations available depending on occupancy dates. ** 

Thank You 
Ravid MOTEK
Real Estate Broker 


**Not intended to solicit buyers or sellers already under contract**
    ","Toronto Waterfront Communities-The Island, ON M5V
Waterfront Communities-The Island, Toronto, Downtown Toronto Toronto Ontario Canada"
